Fungi,Function,Plant,Module,Connection,RootSample
OTU97_1983,Unknown,Photinia_glabra,7,4,8
OTU97_2115,Unknown,Photinia_glabra,7,5,8
OTU97_1433,EcM,Pinus_densiflora,6,1,63
OTU97_157,Unknown,Pinus_densiflora,6,1,63
OTU97_1587,Unknown,Pinus_densiflora,6,1,63
OTU97_1689,Unknown,Pinus_densiflora,6,1,63
OTU97_1791,Unknown,Pinus_densiflora,6,1,63
OTU97_1815,Unknown,Pinus_densiflora,6,1,63
OTU97_1889,EcM,Pinus_densiflora,6,1,63
OTU97_1963,Unknown,Pinus_densiflora,6,1,63
OTU97_2013,Unknown,Pinus_densiflora,6,1,63
OTU97_241,Unknown,Pinus_densiflora,6,1,63
OTU97_391,Unknown,Pinus_densiflora,6,1,63
OTU97_407,Unknown,Pinus_densiflora,6,1,63
OTU97_545,Unknown,Pinus_densiflora,6,1,63
OTU97_565,EcM,Pinus_densiflora,6,1,63
OTU97_659,Unknown,Pinus_densiflora,6,1,63
OTU97_687,Unknown,Pinus_densiflora,6,1,63
OTU97_805,Unknown,Pinus_densiflora,6,1,63
OTU97_1411,EcM,Pinus_densiflora,6,2,63
OTU97_1755,EcM,Pinus_densiflora,6,1,63
OTU97_2195,Unknown,Pinus_densiflora,6,1,63
OTU97_597,Unknown,Pinus_densiflora,6,2,63
OTU97_861,EcM,Pinus_densiflora,6,1,63
OTU97_891,EcM,Pinus_densiflora,6,1,63
OTU97_1209,Unknown,Pinus_densiflora,6,1,63
OTU97_1351,EcM,Pinus_densiflora,6,2,63
OTU97_1591,EcM,Pinus_densiflora,6,1,63
OTU97_267,Unknown,Pinus_densiflora,6,2,63
OTU97_487,Unknown,Pinus_densiflora,6,1,63
OTU97_899,Unknown,Pinus_densiflora,6,1,63
OTU97_945,Unknown,Pinus_densiflora,6,1,63
OTU97_1315,EcM,Pinus_densiflora,6,1,63
OTU97_1365,Unknown,Pinus_densiflora,6,1,63
OTU97_561,EcM,Pinus_densiflora,6,2,63
OTU97_705,Unknown,Pinus_densiflora,6,2,63
OTU97_1187,Unknown,Pinus_densiflora,6,5,63
OTU97_1241,EcM,Pinus_densiflora,6,1,63
OTU97_605,Unknown,Pinus_densiflora,6,1,63
OTU97_657,Unknown,Pinus_densiflora,6,1,63
OTU97_1175,Unknown,Pinus_densiflora,6,6,63
OTU97_1369,Unknown,Pinus_densiflora,6,5,63
OTU97_2071,Unknown,Pinus_densiflora,6,1,63
OTU97_767,EcM,Pinus_densiflora,6,1,63
OTU97_2249,EcM,Pinus_densiflora,6,2,63
OTU97_337,Unknown,Pinus_densiflora,6,2,63
OTU97_1783,Unknown,Pinus_densiflora,6,3,63
OTU97_1195,AM,Pinus_densiflora,6,1,63
OTU97_1225,Unknown,Pinus_densiflora,6,1,63
OTU97_1267,EcM,Pinus_densiflora,6,2,63
OTU97_2137,Unknown,Pinus_densiflora,6,1,63
OTU97_1165,EcM,Pinus_densiflora,6,2,63
OTU97_1229,Unknown,Pinus_densiflora,6,1,63
OTU97_1253,Unknown,Pinus_densiflora,6,5,63
OTU97_1223,EcM,Pinus_densiflora,6,1,63
OTU97_249,EcM,Pinus_densiflora,6,1,63
OTU97_1151,EcM,Pinus_densiflora,6,3,63
OTU97_1265,Unknown,Pinus_densiflora,6,1,63
OTU97_2159,EcM,Pinus_densiflora,6,2,63
OTU97_5,EcM,Pinus_densiflora,6,4,63
OTU97_937,Unknown,Pinus_densiflora,6,1,63
OTU97_2293,EcM,Pinus_densiflora,6,1,63
OTU97_1915,Unknown,Pinus_densiflora,6,2,63
OTU97_2181,Unknown,Pinus_densiflora,6,6,63
OTU97_517,Unknown,Pinus_densiflora,6,2,63
OTU97_747,Unknown,Pinus_densiflora,6,10,63
OTU97_481,Unknown,Pinus_densiflora,6,2,63
OTU97_93,Unknown,Pinus_densiflora,6,5,63
OTU97_1117,Unknown,Pinus_densiflora,6,18,63
OTU97_783,EcM,Pinus_densiflora,6,10,63
OTU97_1207,Unknown,Pinus_densiflora,6,3,63
OTU97_495,EcM,Pinus_densiflora,6,1,63
OTU97_503,EcM,Pinus_densiflora,6,3,63
OTU97_939,EcM,Pinus_densiflora,6,3,63
OTU97_1389,Unknown,Pinus_densiflora,6,4,63
OTU97_1959,Unknown,Pinus_densiflora,6,1,63
OTU97_1177,EcM,Pinus_densiflora,6,4,63
OTU97_1401,EcM,Pinus_densiflora,6,5,63
OTU97_1449,Unknown,Pinus_densiflora,6,6,63
OTU97_447,Unknown,Pinus_densiflora,6,2,63
OTU97_1983,Unknown,Pinus_densiflora,6,9,63
OTU97_2115,Unknown,Pinus_densiflora,6,27,63
OTU97_167,EcM,Pleioblastus_chino,1,1,11
OTU97_1957,Unknown,Pleioblastus_chino,1,1,11
OTU97_2201,Unknown,Pleioblastus_chino,1,1,11
OTU97_277,Unknown,Pleioblastus_chino,1,1,11
OTU97_285,Unknown,Pleioblastus_chino,1,1,11
OTU97_365,Unknown,Pleioblastus_chino,1,1,11
OTU97_377,Unknown,Pleioblastus_chino,1,1,11
OTU97_53,EcM,Pleioblastus_chino,1,1,11
OTU97_631,Unknown,Pleioblastus_chino,1,1,11
OTU97_669,Unknown,Pleioblastus_chino,1,1,11
OTU97_713,Unknown,Pleioblastus_chino,1,1,11
OTU97_79,Unknown,Pleioblastus_chino,1,1,11
OTU97_1141,Unknown,Pleioblastus_chino,1,1,11
OTU97_2027,Unknown,Pleioblastus_chino,1,1,11
